::ffff:192.168.1.4 | - | 200 GET /v1/student/list | Thu, 03 Oct 2024 11:11 AM GMT+05:30 | 21.660 ms 
::ffff:192.168.1.5 | - | 204 OPTIONS /v1/teacher/list | Thu, 03 Oct 2024 11:18 AM GMT+05:30 | 0.599 ms 
::ffff:192.168.1.5 | - | 401 GET /v1/teacher/list | Thu, 03 Oct 2024 11:18 AM GMT+05:30 | 3.121 ms 
::ffff:192.168.1.4 | - | 401 GET /v1/teacher/list | Thu, 03 Oct 2024 11:20 AM GMT+05:30 | 15.881 ms 
::ffff:192.168.1.5 | - | 204 OPTIONS /v1/teacher/list | Thu, 03 Oct 2024 12:13 PM GMT+05:30 | 0.775 ms 
::ffff:192.168.1.5 | - | 401 GET /v1/teacher/list | Thu, 03 Oct 2024 12:13 PM GMT+05:30 | 2.633 ms 
::ffff:192.168.1.4 | - | 401 POST /v1/campus/registration | Thu, 03 Oct 2024 12:38 PM GMT+05:30 | 15.480 ms 
::ffff:192.168.1.4 | - | 200 POST /v1/admin/login | Thu, 03 Oct 2024 12:39 PM GMT+05:30 | 90.154 ms 
::ffff:192.168.1.4 | - | 500 POST /v1/campus/registration | Thu, 03 Oct 2024 12:39 PM GMT+05:30 | 9.261 ms 
::ffff:192.168.1.4 | - | 500 POST /v1/campus/registration | Thu, 03 Oct 2024 12:41 PM GMT+05:30 | 43.211 ms 
::ffff:192.168.1.4 | - | 200 POST /v1/campus/registration | Thu, 03 Oct 2024 12:41 PM GMT+05:30 | 55.972 ms 
::ffff:192.168.1.4 | - | 200 POST /v1/campus/registration | Thu, 03 Oct 2024 12:47 PM GMT+05:30 | 48.488 ms 
::ffff:192.168.1.4 | - | 400 POST /v1/campus/registration | Thu, 03 Oct 2024 12:47 PM GMT+05:30 | 32.740 ms 
::ffff:192.168.1.22 | - | 200 GET / | Thu, 03 Oct 2024 02:59 PM GMT+05:30 | 9.066 ms 
::ffff:192.168.1.22 | - | 404 GET /favicon.ico | Thu, 03 Oct 2024 02:59 PM GMT+05:30 | 4.076 ms 
::ffff:192.168.1.22 | - | 200 POST /v1/admin/login | Thu, 03 Oct 2024 03:31 PM GMT+05:30 | 112.141 ms 
::ffff:192.168.1.22 | - | 404 PUT /v1/campus/update/:66fe4502d033838c1f602e3e | Thu, 03 Oct 2024 03:34 PM GMT+05:30 | 1.925 ms 
::ffff:192.168.1.22 | - | 401 PUT /v1/campus/update/66fe4502d033838c1f602e3e | Thu, 03 Oct 2024 03:35 PM GMT+05:30 | 33.348 ms 
::ffff:192.168.1.22 | - | 401 PUT /v1/campus/update/66fe4502d033838c1f602e3e | Thu, 03 Oct 2024 03:35 PM GMT+05:30 | 11.136 ms 
::ffff:192.168.1.22 | - | 401 PUT /v1/campus/update/66fe4502d033838c1f602e3e | Thu, 03 Oct 2024 03:36 PM GMT+05:30 | 32.117 ms 
::ffff:192.168.1.22 | - | 401 PUT /v1/campus/update/66fe4502d033838c1f602e3e | Thu, 03 Oct 2024 03:36 PM GMT+05:30 | 32.884 ms 
::ffff:192.168.1.22 | - | 401 PUT /v1/campus/update/66fe4502d033838c1f602e3e | Thu, 03 Oct 2024 03:37 PM GMT+05:30 | 156.146 ms 
::ffff:192.168.1.22 | - | 200 PUT /v1/campus/update/66fe4502d033838c1f602e3e | Thu, 03 Oct 2024 03:37 PM GMT+05:30 | 75.475 ms 
::ffff:192.168.1.22 | - | 500 PUT /v1/campus/update/66fe4502d033838c1f602e3f | Thu, 03 Oct 2024 03:39 PM GMT+05:30 | 38.932 ms 
::ffff:192.168.1.22 | - | 401 PUT /v1/campus/update/66fe4502d033838c1f602e3f | Thu, 03 Oct 2024 03:39 PM GMT+05:30 | 32.489 ms 
::ffff:192.168.1.4 | - | 200 GET / | Thu, 03 Oct 2024 04:06 PM GMT+05:30 | 6.560 ms 
::ffff:192.168.1.4 | - | 304 GET / | Thu, 03 Oct 2024 04:06 PM GMT+05:30 | 1.478 ms 
::ffff:192.168.1.4 | - | 401 POST /v1/campus/view/66fe4502d033838c1f602e3e | Thu, 03 Oct 2024 04:07 PM GMT+05:30 | 3.945 ms 
::ffff:192.168.1.4 | - | 200 POST /v1/campus/view/66fe4502d033838c1f602e3e | Thu, 03 Oct 2024 04:07 PM GMT+05:30 | 19.338 ms 
